month,market,gross_revenue,net_revenue,gross_man,cumulative_net_revenue,cumulative_gross_revenue,cumulative_gross_man,avg_net_revenue,total_sold_quantity,avg_net_price_per_item,Type
2017-09-01,Australia,9103.1301,7159.401495980001,2700.5886,7159.401495980001,9103.1301,2700.5886,178.98503739950002,513.0,13.955948335243665,Actual
2017-10-01,Australia,16138.6281,12115.08367763,4787.2641,19274.485173610003,25241.7582,7487.8527,252.39757661729166,896.0,13.52129874735491,Actual
2017-11-01,Australia,14741.7272,11289.37427846,4378.8112,30563.85945207,39983.4854,11866.6639,282.2343569615,816.0,13.835017498112745,Actual
2017-12-01,Australia,17585.7527,13042.76096617,5223.4327,43606.62041824,57569.2381,17090.0966,326.06902415425003,990.0,13.174506026434344,Actual
2018-01-01,Australia,9455.1961,7419.758110780001,2799.4559,51026.37852902,67024.4342,19889.5525,185.49395276950003,531.0,13.973179116346516,Actual
2018-02-01,Australia,11551.4969,8871.212976140001,3424.658,59897.59150516,78575.9311,23314.2105,184.8169370029167,649.0,13.669049269861327,Actual
2018-03-01,Australia,9081.5949,6997.49755779,2692.8375,66895.08906295,87657.526,26007.048000000003,174.93743894475,508.0,13.7746014917126,Actual
2018-04-01,Australia,8050.6664,5978.42106366,2382.3396000000002,72873.51012661001,95708.1924,28389.387600000002,149.4605265915,449.0,13.314968961380847,Actual
2018-05-01,Australia,9155.9007,7205.12377594,2719.5018,80078.63390255,104864.0931,31108.8894,180.1280943985,511.0,14.100046528258318,Actual
2018-06-01,Australia,10528.085,7979.57652135,3120.6428,88058.2104239,115392.1781,34229.5322,166.241177528125,592.0,13.479014394172298,Actual
2018-07-01,Australia,8649.5433,6693.220322190001,2559.2136,94751.43074609,124041.7214,36788.745800000004,167.33050805475003,487.0,13.743778895667353,Actual
2018-08-01,Australia,9669.475,7147.33751833,2872.047,101898.76826442001,133711.1964,39660.7928,178.68343795825,542.0,13.18696959101476,Actual
2018-09-01,Australia,18959.6378,15386.16993786,5629.4564,117284.93820228,152670.8342,45290.2492,307.7233987572,1084.0,14.193883706512915,Actual
2018-10-01,Australia,28213.5326,22725.41859964,8380.8267,140010.35680192002,180884.3668,53671.0759,378.7569766606667,1615.0,14.071466625164087,Actual
2018-11-01,Australia,31446.7701,25673.24638483,9351.1372,165683.60318675,212331.1369,63022.2131,513.4649276966,1820.0,14.106179332324176,Actual
2018-12-01,Australia,34006.1805,26910.005638900002,10124.246,192593.60882565,246337.3174,73146.4591,538.2001127780001,1960.0,13.729594713724492,Actual
2019-01-01,Australia,22769.7168,18476.97900113,6750.6557,211070.58782678,269107.0342,79897.1148,369.5395800226,1300.0,14.2130607701,Actual
2019-02-01,Australia,24396.307,19742.80270905,7233.4160999999995,230813.39053583,293503.3412,87130.5309,329.0467118175,1401.0,14.09193626627409,Actual
2019-03-01,Australia,18824.0779,15267.14528032,5582.6499,246080.53581615002,312327.4191,92713.1808,305.3429056064,1085.0,14.071101640847926,Actual
2019-04-01,Australia,19865.8483,15698.53462385,5910.5988,261779.07044,332193.2674,98623.7796,313.970692477,1127.0,13.929489462156168,Actual
2019-05-01,Australia,18490.519800000002,14948.436028260001,5512.4263,276727.50646826,350683.7872,104136.2059,298.96872056520004,1045.0,14.30472347201914,Actual
2019-06-01,Australia,23681.0001,18923.25247576,7041.7738,295650.75894402,374364.7873,111177.9797,315.3875412626667,1357.0,13.944917078673544,Actual
2019-07-01,Australia,18616.2327,15182.332314270001,5527.7476,310833.09125829,392981.02,116705.7273,337.38516253933335,1066.0,14.242338005881802,Actual
2019-08-01,Australia,17054.0259,13523.494797199999,5050.3755,324356.58605549,410035.0459,121756.1028,300.52210660444445,983.0,13.757370088708036,Actual
2019-09-01,Australia,45052.5456,35525.87582354,13476.3799,359882.46187903,455087.5915,135232.4827,645.9250149734546,2215.0,16.03877012349436,Actual
2019-10-01,Australia,78877.6689,61386.028869429996,23542.7931,421268.49074846,533965.2604,158775.2758,930.091346506515,3839.0,15.99010910899453,Actual
2019-11-01,Australia,91345.7566,68890.41937599999,27235.8816,490158.91012446,625311.017,186011.1574,1252.5530795636362,4417.0,15.596653696173872,Actual
2019-12-01,Australia,83028.4375,61522.95854462,24731.0972,551681.86866908,708339.4545,210742.2546,1118.5992462658182,4006.0,15.357703081532701,Actual
2020-01-01,Australia,52518.765,41245.3756668,15663.2459,592927.24433588,760858.2195,226405.5005,749.9159212145454,2547.0,16.193708546054182,Actual
2020-02-01,Australia,58166.034,45066.61922342,17297.3041,637993.8635593,819024.2535,243702.8046,682.8275639912121,2801.0,16.089474910182076,Actual
2020-03-01,Australia,6037.142699999999,4505.4157247699995,1800.8461,642499.27928407,825061.3962,245503.6507,81.91664954127272,295.0,15.27259567718644,Actual
2020-04-01,Australia,27327.1301,20306.698733989997,8175.8187,662805.97801806,852388.5263,253679.4694,369.2127042543636,1335.0,15.211010287632957,Actual
2020-05-01,Australia,24082.465,18837.83557536,7165.9052,681643.81359342,876470.9913,260845.3746,342.50610137018185,1186.0,15.883503857807758,Actual
2020-06-01,Australia,50615.619099999996,38364.842868429994,15099.9055,720008.65646185,927086.6104,275945.2801,581.285498006515,2418.0,15.866353543602148,Actual
